id	name	bbx
2876	Felsőszölnök	16.1138867,46.8537074,16.2069423,46.9091656
2835	Alsószölnök	16.1791723,46.8939695,16.2182522,46.9425463
2917	Kétvölgy	16.1968515,46.8678396,16.238848,46.8975431
3005	Szakonyfalu	16.2121069,46.8870285,16.251838,46.9431605
3011	Szentgotthárd	16.2302861,46.8828635,16.3598627,47.0140448
2837	Apátistvánfalva	16.2359264,46.8762358,16.3030902,46.9267301
2963	Orfalu	16.2422515,46.8717501,16.2978942,46.8963481
3006	Szalafő	16.2914679,46.8410129,16.3876489,46.8927963
2915	Kercaszomor	16.3109875,46.7772545,16.3812965,46.8056631
2934	Magyarszombatfa	16.3185438,46.7362336,16.4068084,46.7803976
2931	Magyarlak	16.3201426,46.9205765,16.3617899,46.9650546
2990	Rönök	16.3263709,46.9629649,16.3921111,47.0103889
2863	Csörötnek	16.3332457,46.9015757,16.3979453,46.9650546
2838	Bajánsenye	16.3399257,46.7854116,16.4196413,46.8444028
2922	Kondorfa	16.3452604,46.8755932,16.4400761,46.9151913
3037	Velemér	16.3457858,46.7142388,16.3944658,46.7625735
1097	Magyarföld	16.3626409,46.7592878,16.4405305,46.7899164
2969	Őriszentpéter	16.3640243,46.8033836,16.450066,46.8846304
1170	Szentgyörgyvölgy	16.3685547,46.6954431,16.4503017,46.7718945
2958	Nemesmedves	16.3795882,46.9851868,16.4261869,47.0047396
3029	Vasszentmihály	16.3848381,46.9535514,16.4185523,46.9910177
1010	Bödeháza	16.3852629,46.6320001,16.4281438,46.664695
2983	Rábagyarmat	16.3885493,46.9102171,16.4562803,46.9561375
2987	Rátót	16.4002458,46.9438073,16.4397379,46.9886961
1038	Gáborjánháza	16.4044595,46.6130609,16.4381134,46.649305
2916	Kerkáskápolna	16.4122305,46.7766251,16.4640786,46.8056693
2873	Felsőcsatár	16.4169018,47.191235,16.5354427,47.2337388
1155	Resznek	16.4183242,46.6421711,16.5292565,46.6819759
3027	Vaskeresztes	16.4195013,47.1845291,16.5084243,47.2078146
1089	Lendvajakabfa	16.420333,46.6622256,16.4629561,46.6923926
1033	Felsőszenterzsébet	16.4207386,46.7412153,16.471314,46.7769006
1101	Márokföld	16.4209015,46.694885,16.4638362,46.7336656
2727	Sopron	16.4215332,47.6271195,16.7490318,47.7591037
1178	Szijártóháza	16.4238475,46.610952,16.4535674,46.652048
2877	Gasztony	16.4243723,46.9407262,16.4825177,46.9943589
1122	Nemesnép	16.4264447,46.6774837,16.4832259,46.7180149
2899	Ispánk	16.4293885,46.8542378,16.4686723,46.8828068
1228	Zalaszombatfa	16.4303511,46.6147662,16.4684845,46.6570124
2949	Narda	16.4304784,47.2161413,16.4927276,47.2560082
2946	Nagyrákos	16.4335428,46.8027921,16.4878802,46.8580302
2845	Bozsok	16.4337372,47.2830881,16.5237687,47.3563712
2900	Ivánc	16.4363341,46.8823847,16.5257528,46.9606383
2892	Hegyhátszentmárton	16.4363341,46.8956578,16.4898528,46.9449272
2977	Pinkamindszent	16.4388931,47.0198062,16.52523,47.056657
3039	Viszák	16.4394416,46.8704228,16.513255,46.9056194
1154	Ramocsa	16.4408359,46.764476,16.4705001,46.7877567
2594	Ágfalva	16.4433599,47.6625008,16.5382581,47.7122541
3036	Velem	16.4440142,47.3337803,16.510417,47.364141
987	Alsószenterzsébet	16.4445493,46.7168407,16.5016697,46.7577642
2925	Kőszeg	16.4454285,47.3526671,16.6251624,47.4130423
2854	Csákánydoroszló	16.4454751,46.9408264,16.5507853,47.0042793
1157	Rédics	16.4455713,46.5623558,16.5236414,46.6325233
2978	Pornóapáti	16.4490489,47.1419434,16.52748,47.1804321
2894	Horvátlövő	16.4536859,47.1706327,16.5117845,47.1903279
1002	Belsősárd	16.4593715,46.623631,16.5303044,46.6582277
1069	Kerkafalva	16.4632888,46.75709,16.5453856,46.8192985
3012	Szentpéterfa	16.4633499,47.0538314,16.5600763,47.1272428
3008	Szatta	16.4638118,46.786932,16.5066651,46.8172104
